
187.912	160.81
188.378	160.81
188.844	46.73
189.309	-102.35
189.775	1934.27
190.24	45.72
190.706	-20.55
191.171	200
191.636	40.66
192.102	71.18
192.567	178.18
193.032	95.62
193.497	-49.68
193.962	-74.05
194.428	-43.32
194.893	349.61
195.358	49.91
195.822	122.5
196.287	-830.51
196.752	-87.26
197.217	-115.96
197.682	433.74
198.146	409.69
198.611	-31.97
199.076	-0.67
199.54	2.52
200.005	0.72
200.469	-3.27
200.934	2.89
201.398	15.43
201.862	23.56
202.326	25.44
202.791	24.74
203.255	12.34
203.719	6.28
204.183	2.6
204.647	5.38
205.111	5.89
205.575	2.01
206.039	-1.7
206.503	-4.24
206.966	-1.41
207.43	8.98
207.894	15.52
208.357	16.41
208.821	21.4
209.285	23.73
209.748	22.91
210.212	11.61
210.675	16.32
211.138	25.29
211.602	26.41
212.065	19.19
212.528	9.44
212.991	19.99
213.454	22.7
213.917	22.73
214.38	15.39
214.843	11.57
215.306	18.08
215.769	23.79
216.232	25.82
216.695	20.34
217.157	12.14
217.62	-1.14
218.083	-4.5
218.545	0.49
219.008	13.11
219.47	17.99
219.933	14.78
220.395	9.45
220.857	4.13
221.32	0.56
221.782	6.41
222.244	13.76
222.706	19.98
223.168	15.89
223.63	10.28
224.092	-0.35
224.554	8.66
225.016	14.44
225.478	19.31
225.94	12.56
226.402	5.76
226.863	13.8
227.325	17.07
227.787	24.17
228.248	16.75
228.71	-0.91
229.171	-9.79
229.633	-5.96
230.094	4.04
230.555	9.09
231.017	1.8
231.478	-7.27
231.939	-5.38
232.4	9.72
232.861	24.17
233.322	29.24
233.783	19.98
234.244	17.74
234.705	7.81
235.166	13.19
235.627	14.7
236.087	20.34
236.548	22.45
237.009	25.32
237.469	18.51
237.93	15.42
238.39	3.74
238.851	9.6
239.311	6.62
239.772	4.15
240.232	-0.73
240.692	3.83
241.152	17.77
241.612	24.85
242.073	22.68
242.533	23.1
242.993	15.37
243.453	22.53
243.912	14.18
244.372	14.97
244.832	9.07
245.292	16.26
245.752	13.58
246.211	9.34
246.671	-4.29
247.13	-1.6
247.59	-1.28
248.049	0.95
248.509	4
248.968	1.26
249.428	7.3
249.887	10.58
250.346	11.15
250.805	9.61
251.264	3.81
251.723	10.34
